Stamp,File Path,Using circle,Using arrow,Number of people,Number of people in group,Group radius,Distance to group,Robot within group?,Robot facing group?,Robot work radius,Distance to closest human,Distance to 2nd closest human,Distance to 3rd closest human,Direction to closest human,Direction to 2nd closest human,Direction to 3rd closest human,Direction from closest human to robot,Robot facing closest human?,Robot facing 2nd closest human?,Robot facing 3rd closest human?,Closest human facing robot?,2nd closest human facing robot?,3d closest human facing robot?,Number of children,Distance to closest child,Number of animals,Distance to closest animal,Number of people sitting/laying in sofa?,Music playing?,Number of agents in scene,PosRot1,PosRot2,PosRot3,PosRot4,PosRot5,PosRot6,PosRot7,PosRot8,PosRot9,PosRot10,PosRot11,PosRotPepper,
160,data/screenshots/160_0_1_2_0_50_50_0_0_0_1.647489_2.80919_50_308.4469_38.55073_1000_214.9928_0_1_0_0_0_0_0_50_0_0_3.png,0,1,2,0,50,50,0,0,0,1.647489,2.80919,50,308.4469,38.55073,1000,214.9928,0,1,0,0,0,0,0,50,0,50,0,0,3,"(-3.1, -0.9, -2.6) (0.0, 1.0, 0.0, 0.0)","(-6.3, -0.9, -3.3) (0.0, 0.6, 0.0, -0.8)",_,_,_,_,_,_,_,_,_,"(-5.2, -0.9, -4.5) (-0.1, 0.1, 0.0, 1.0)",
161,data/screenshots/161_1_0_5_0_50_50_0_0_0.9480267_1.18806_3.624725_4.187982_216.2872_172.2545_186.336_114.28_0_0_0_0_1_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,0.9480267,1.18806,3.624725,4.187982,216.2872,172.2545,186.336,114.28,0,0,0,0,1,0,0,50,0,50,0,0,6,"(-4.4, -0.9, -1.7) (0.0, 0.0, 0.0, 1.0)","(-3.2, -0.9, -3.7) (0.0, 0.5, 0.0, -0.9)","(-5.8, -0.9, -3.1) (0.0, 0.7, 0.0, 0.7)","(-6.1, -0.9, -4.1) (0.0, 0.3, 0.0, -1.0)","(-8.4, -0.9, -1.9) (0.0, 0.9, 0.0, -0.5)",_,_,_,_,_,_,"(-8.6, -0.9, -0.7) (0.0, -0.4, 0.0, 0.9)",
162,data/screenshots/162_1_0_2_0_50_50_0_0_0.6021865_4.101646_5.672211_50_281.3481_308.5367_1000_240.6281_0_0_0_0_0_0_2_4.101646_0_0_3.png,1,0,2,0,50,50,0,0,0.6021865,4.101646,5.672211,50,281.3481,308.5367,1000,240.6281,0,0,0,0,0,0,2,4.101646,0,50,0,0,3,_,_,_,_,_,_,_,_,"(-3.1, -0.9, -4.0) (0.0, 0.3, 0.0, -0.9)","(-3.8, -0.9, -1.3) (0.0, 0.3, 0.0, 1.0)",_,"(-7.9, -0.9, -0.9) (0.0, 1.0, 0.0, 0.0)",
163,data/screenshots/163_1_0_8_0_50_50_0_0_0.7469921_2.079225_2.144621_2.8046_225.5066_304.4843_248.1046_259.1347_0_0_0_0_0_0_0_50_1_2_10.png,1,0,8,0,50,50,0,0,0.7469921,2.079225,2.144621,2.8046,225.5066,304.4843,248.1046,259.1347,0,0,0,0,0,0,0,50,1,1.534274,2,0,10,"(-2.7, -0.9, -2.6) (0.0, 0.2, 0.0, 1.0)","(-4.2, -0.9, -0.3) (0.0, 0.0, 0.0, 1.0)","(-7.4, -0.9, -1.1) (0.0, 0.8, 0.0, 0.6)","(-7.9, -0.9, -2.1) (0.0, 0.9, 0.0, -0.5)","(-3.0, -0.9, -2.1) (0.0, 1.0, 0.0, -0.2)","(-2.8, -0.9, -3.0) (0.0, 0.8, 0.0, 0.6)","(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,"(-7.1, -0.9, -2.3) (0.0, 0.5, 0.0, -0.9)","(-6.6, -0.9, -3.7) (0.0, 0.7, 0.0, 0.7)",
164,data/screenshots/164_1_0_6_0_50_50_0_0_0.6418722_3.250605_3.319833_4.62353_52.89174_19.06598_49.46124_91.57361_0_1_0_0_1_0_0_50_0_2_7.png,1,0,6,0,50,50,0,0,0.6418722,3.250605,3.319833,4.62353,52.89174,19.06598,49.46124,91.57361,0,1,0,0,1,0,0,50,0,50,2,1,7,"(-2.7, -0.9, -2.8) (0.0, 0.0, 0.0, 1.0)","(-3.1, -0.9, -4.1) (0.0, 0.8, 0.0, -0.6)","(-3.8, -0.9, -1.3) (0.0, 0.8, 0.0, 0.7)","(-3.9, -0.9, -1.9) (0.0, 1.0, 0.0, 0.0)",_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-8.5, -0.9, -1.9) (0.0, 0.3, 0.0, 0.9)",
165,data/screenshots/165_0_1_6_0_50_50_0_0_0_0.5223066_0.6161842_0.9952629_164.7812_98.70485_251.3204_256.7852_0_0_0_0_1_1_0_50_0_0_7.png,0,1,6,0,50,50,0,0,0,0.5223066,0.6161842,0.9952629,164.7812,98.70485,251.3204,256.7852,0,0,0,0,1,1,0,50,0,50,0,0,7,"(-4.4, -0.9, -0.5) (0.0, 0.6, 0.0, -0.8)","(-2.9, -0.9, -2.1) (0.0, 0.9, 0.0, 0.4)","(-3.2, -0.9, -3.2) (0.0, 1.0, 0.0, 0.0)","(-3.2, -0.9, -4.1) (0.0, 0.4, 0.0, 0.9)","(-5.2, -0.9, -4.9) (0.0, 0.9, 0.0, -0.3)","(-2.8, -0.9, -3.7) (0.0, 0.3, 0.0, -1.0)",_,_,_,_,_,"(-2.7, -0.9, -3.1) (0.0, 0.7, 0.0, 0.7)",
166,data/screenshots/166_1_0_6_0_50_50_0_0_1.386904_0.9479086_1.282466_1.450828_170.8982_284.3906_78.83513_327.6071_0_0_0_1_0_0_0_50_0_2_7.png,1,0,6,0,50,50,0,0,1.386904,0.9479086,1.282466,1.450828,170.8982,284.3906,78.83513,327.6071,0,0,0,1,0,0,0,50,0,50,2,0,7,"(-5.7, -0.9, -3.4) (0.0, 0.2, 0.0, -1.0)","(-3.8, -0.9, -1.2) (0.0, 1.0, 0.0, -0.3)","(-4.3, -0.9, -4.9) (0.0, 1.0, 0.0, 0.2)","(-2.7, -0.9, -2.7) (0.0, 1.0, 0.0, 0.2)",_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-3.8, -0.9, -2.1) (0.0, 1.0, 0.0, -0.1)",
167,data/screenshots/167_1_0_7_4_0.9969434_2.712356_0_0_2.379234_0.462454_0.8168786_1.780309_82.2345_304.427_170.7648_150.5803_0_0_0_0_0_0_1_5.062387_0_0_8.png,1,0,7,4,0.9969434,2.712356,0,0,2.379234,0.462454,0.8168786,1.780309,82.2345,304.427,170.7648,150.5803,0,0,0,0,0,0,1,5.062387,0,50,0,0,8,"(-5.5, -0.9, -3.0) (0.0, 1.0, 0.0, 0.0)","(-4.5, -0.9, -4.0) (0.0, -0.7, 0.0, 0.7)","(-5.5, -0.9, -5.0) (0.0, 0.0, 0.0, 1.0)","(-6.5, -0.9, -4.0) (0.0, 0.7, 0.0, 0.7)","(-2.7, -0.9, -2.4) (0.0, 1.0, 0.0, -0.1)","(-2.7, -0.9, -3.6) (0.0, 1.0, 0.0, 0.0)",_,_,"(-7.0, -0.9, -0.2) (0.0, 0.4, 0.0, 0.9)",_,_,"(-2.9, -0.9, -3.2) (0.0, -0.6, 0.0, -0.8)",
168,data/screenshots/168_0_1_6_3_0.7466218_0_1_1_0_0.7466214_0.7466218_0.7466219_147_267_27.00001_0_0_0_1_1_1_0_0_50_1_0_8.png,0,1,6,3,0.7466218,0,1,1,0,0.7466214,0.7466218,0.7466219,147,267,27.00001,0,0,0,1,1,1,0,0,50,1,4.916628,0,0,8,"(-7.5, -0.9, -0.8) (0.0, 1.0, 0.0, 0.0)","(-6.9, -0.9, -1.9) (0.0, -0.5, 0.0, 0.9)","(-8.1, -0.9, -1.9) (0.0, 0.5, 0.0, 0.9)","(-4.4, -0.9, -1.8) (0.0, 1.0, 0.0, 0.2)","(-6.5, -0.9, -3.9) (0.0, 0.4, 0.0, -0.9)","(-3.1, -0.9, -3.0) (0.0, 0.1, 0.0, 1.0)",_,_,_,_,"(-2.7, -0.9, -2.4) (0.0, 0.8, 0.0, 0.6)","(-7.5, -0.9, -1.5) (0.0, 0.7, 0.0, 0.7)",
169,data/screenshots/169_0_1_4_3_0.712386_2.765876_0_0_0_2.115761_2.449147_2.526322_223.4666_194.0826_165.4188_250.8577_0_0_0_0_0_1_0_50_0_2_6.png,0,1,4,3,0.712386,2.765876,0,0,0,2.115761,2.449147,2.526322,223.4666,194.0826,165.4188,250.8577,0,0,0,0,0,1,0,50,0,50,2,0,6,"(-5.5, -0.9, -3.3) (0.0, 1.0, 0.0, 0.0)","(-4.9, -0.9, -4.4) (0.0, -0.5, 0.0, 0.9)","(-6.1, -0.9, -4.4) (0.0, 0.5, 0.0, 0.9)",_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-3.2, -0.9, -2.5) (0.0, -0.5, 0.0, -0.9)",
170,data/screenshots/170_0_1_0_3_0.6537603_0.9201078_0_0_0_0.2723939_1.340628_1.39661_169.8342_206.0469_157.227_165.6169_0_0_0_0_0_1_0_50_0_0_4.png,0,1,0,3,0.6537603,0.9201078,0,0,0,0.2723939,1.340628,1.39661,169.8342,206.0469,157.227,165.6169,0,0,0,0,0,1,0,50,0,50,0,0,4,"(-4.0, -0.9, -1.8) (0.0, 1.0, 0.0, 0.0)","(-3.4, -0.9, -2.8) (0.0, -0.5, 0.0, 0.9)","(-4.6, -0.9, -2.8) (0.0, 0.5, 0.0, 0.9)",_,_,_,_,_,_,_,_,"(-3.2, -0.9, -2.9) (0.0, -0.8, 0.0, -0.5)",
171,data/screenshots/171_1_0_5_4_0.7486463_4.868525_0_1_2.965246_2.513173_4.183591_4.640758_342.0502_3.837555_351.3956_31.01315_1_1_1_1_0_0_0_50_1_0_7.png,1,0,5,4,0.7486463,4.868525,0,1,2.965246,2.513173,4.183591,4.640758,342.0502,3.837555,351.3956,31.01315,1,1,1,1,0,0,0,50,1,0.8155575,0,0,7,"(-7.5, -0.9, -0.8) (0.0, 1.0, 0.0, 0.0)","(-6.8, -0.9, -1.5) (0.0, -0.7, 0.0, 0.7)","(-7.5, -0.9, -2.2) (0.0, 0.0, 0.0, 1.0)","(-8.2, -0.9, -1.5) (0.0, 0.7, 0.0, 0.7)","(-5.5, -0.9, -3.1) (0.0, 0.5, 0.0, 0.9)",_,_,_,_,_,"(-3.1, -0.9, -4.1) (0.0, 0.5, 0.0, -0.8)","(-3.0, -0.9, -3.3) (0.0, -0.6, 0.0, 0.8)",
172,data/screenshots/172_0_1_2_4_0.8077036_3.721229_0_0_0_3.128141_3.281864_4.26957_170.7823_191.1294_171.4675_132.4383_0_0_0_0_0_1_0_50_0_0_5.png,0,1,2,4,0.8077036,3.721229,0,0,0,3.128141,3.281864,4.26957,170.7823,191.1294,171.4675,132.4383,0,0,0,0,0,1,0,50,0,50,0,0,5,"(-7.5, -0.9, -0.7) (0.0, 1.0, 0.0, 0.0)","(-6.7, -0.9, -1.5) (0.0, -0.7, 0.0, 0.7)","(-7.5, -0.9, -2.3) (0.0, 0.0, 0.0, 1.0)","(-8.3, -0.9, -1.5) (0.0, 0.7, 0.0, 0.7)",_,_,_,_,_,_,_,"(-5.2, -0.9, -4.4) (0.0, -0.9, 0.0, -0.3)",
173,data/screenshots/173_1_0_5_0_50_50_0_0_2.71651_1.044367_1.158756_2.155143_310.9452_16.90305_115.5572_112.0687_0_1_0_0_0_0_0_50_1_0_7.png,1,0,5,0,50,50,0,0,2.71651,1.044367,1.158756,2.155143,310.9452,16.90305,115.5572,112.0687,0,1,0,0,0,0,0,50,1,2.421412,0,0,7,"(-6.1, -0.9, -4.5) (0.0, 0.2, 0.0, -1.0)","(-3.0, -0.9, -3.6) (0.0, 0.3, 0.0, 1.0)","(-8.5, -0.9, -0.6) (0.0, 1.0, 0.0, 0.2)","(-8.6, -0.9, -2.3) (0.0, 0.8, 0.0, -0.6)","(-5.6, -0.9, -3.4) (0.0, 1.0, 0.0, -0.2)",_,_,_,_,_,"(-3.1, -0.9, -2.9) (0.0, 0.8, 0.0, 0.6)","(-5.0, -0.9, -4.4) (0.0, -0.4, 0.0, 0.9)",
174,data/screenshots/174_0_1_4_0_50_50_0_0_0_2.60145_5.037867_5.188845_57.01154_335.5641_357.8825_298.038_0_1_1_0_0_0_0_50_0_0_5.png,0,1,4,0,50,50,0,0,0,2.60145,5.037867,5.188845,57.01154,335.5641,357.8825,298.038,0,1,1,0,0,0,0,50,0,50,0,0,5,"(-8.2, -0.9, -0.9) (0.0, 0.7, 0.0, 0.7)","(-8.4, -0.9, -1.7) (0.0, 1.0, 0.0, -0.3)","(-7.1, -0.9, -0.2) (0.0, 0.8, 0.0, -0.6)","(-3.1, -0.9, -2.3) (0.0, 0.7, 0.0, -0.7)",_,_,_,_,_,_,_,"(-4.3, -0.9, -4.6) (0.0, -0.3, 0.0, 1.0)",
175,data/screenshots/175_0_1_3_0_50_50_0_0_0_0.780138_3.119251_4.553574_112.3849_223.7832_272.0123_146.423_0_0_0_0_0_0_2_0.780138_0_0_4.png,0,1,3,0,50,50,0,0,0,0.780138,3.119251,4.553574,112.3849,223.7832,272.0123,146.423,0,0,0,0,0,0,2,0.780138,0,50,0,0,4,"(-7.2, -0.9, -0.1) (0.0, 0.2, 0.0, -1.0)",_,_,_,_,_,_,_,"(-6.2, -0.9, -3.4) (0.0, 0.7, 0.0, -0.7)","(-2.7, -0.9, -2.9) (0.0, 1.0, 0.0, 0.1)",_,"(-3.2, -0.9, -2.3) (0.0, 0.2, 0.0, 1.0)",
176,data/screenshots/176_1_0_0_0_50_50_0_0_1.489354_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_0_0_1.png,1,0,0,0,50,50,0,0,1.489354,50,50,50,1000,1000,1000,1000,0,0,0,0,0,0,0,50,0,50,0,0,1,_,_,_,_,_,_,_,_,_,_,_,"(-8.0, -0.9, -0.6) (0.0, 0.9, 0.0, 0.3)",
177,data/screenshots/177_0_1_0_0_50_50_0_0_0_50_50_50_1000_1000_1000_1000_0_0_0_0_0_0_0_50_1_0_2.png,0,1,0,0,50,50,0,0,0,50,50,50,1000,1000,1000,1000,0,0,0,0,0,0,0,50,1,1.229452,0,0,2,_,_,_,_,_,_,_,_,_,_,"(-8.3, -0.9, -0.1) (0.0, 0.9, 0.0, -0.4)","(-7.4, -0.9, -0.9) (0.0, 0.9, 0.0, 0.3)",
178,data/screenshots/178_1_0_1_0_50_50_0_0_0.729978_3.573754_50_50_353.509_1000_1000_191.932_1_0_0_0_0_0_0_50_0_0_2.png,1,0,1,0,50,50,0,0,0.729978,3.573754,50,50,353.509,1000,1000,191.932,1,0,0,0,0,0,0,50,0,50,0,0,2,"(-5.8, -0.9, -3.1) (0.0, 0.9, 0.0, 0.5)",_,_,_,_,_,_,_,_,_,_,"(-8.4, -0.9, -0.7) (0.0, 0.9, 0.0, 0.3)",
179,data/screenshots/179_1_0_5_0_50_50_0_0_2.480624_2.959759_4.537458_5.273271_314.0464_343.5538_353.515_96.97842_0_1_1_0_0_0_0_50_0_0_6.png,1,0,5,0,50,50,0,0,2.480624,2.959759,4.537458,5.273271,314.0464,343.5538,353.515,96.97842,0,1,1,0,0,0,0,50,0,50,0,0,6,"(-2.9, -0.9, -3.9) (0.0, 1.0, 0.0, 0.2)","(-2.9, -0.9, -2.2) (0.0, 0.2, 0.0, 1.0)","(-4.2, -0.9, -4.7) (0.0, 0.9, 0.0, 0.5)","(-2.7, -0.9, -3.3) (0.0, 0.8, 0.0, 0.6)","(-4.0, -0.9, 0.0) (0.0, 1.0, 0.0, 0.1)",_,_,_,_,_,_,"(-7.0, -0.9, -0.2) (0.0, 0.9, 0.0, 0.4)",
180,data/screenshots/180_1_0_3_0_50_50_0_0_2.737975_2.967566_3.443902_4.913237_324.2321_321.1544_242.8785_37.21053_1_1_0_1_0_0_0_50_0_0_4.png,1,0,3,0,50,50,0,0,2.737975,2.967566,3.443902,4.913237,324.2321,321.1544,242.8785,37.21053,1,1,0,1,0,0,0,50,0,50,0,0,4,"(-7.7, -0.9, -0.5) (0.0, 0.9, 0.0, -0.5)","(-2.9, -0.9, -2.9) (0.0, 1.0, 0.0, -0.1)","(-2.7, -0.9, -2.4) (0.0, 1.0, 0.0, 0.1)",_,_,_,_,_,_,_,_,"(-5.2, -0.9, -4.7) (0.0, 0.7, 0.0, 0.7)",
181,data/screenshots/181_0_1_4_0_50_50_0_0_0_3.302037_3.699103_3.888566_101.0139_35.40567_55.98203_68.14664_0_1_0_0_0_0_0_50_0_0_5.png,0,1,4,0,50,50,0,0,0,3.302037,3.699103,3.888566,101.0139,35.40567,55.98203,68.14664,0,1,0,0,0,0,0,50,0,50,0,1,5,"(-3.0, -0.9, -4.1) (0.0, 1.0, 0.0, -0.2)","(-4.1, -0.9, -1.7) (0.0, 0.3, 0.0, -1.0)","(-4.0, -0.9, -3.1) (0.0, 0.1, 0.0, -1.0)","(-6.1, -0.9, -5.0) (0.0, 0.8, 0.0, -0.6)",_,_,_,_,_,_,_,"(-7.8, -0.9, -2.1) (0.0, 0.4, 0.0, 0.9)",
182,data/screenshots/182_0_1_2_0_50_50_0_0_0_3.134291_3.749657_50_243.1238_182.2003_1000_225.2704_0_0_0_0_0_0_0_50_1_0_4.png,0,1,2,0,50,50,0,0,0,3.134291,3.749657,50,243.1238,182.2003,1000,225.2704,0,0,0,0,0,0,0,50,1,2.198953,0,0,4,"(-7.7, -0.9, -1.7) (0.0, 0.8, 0.0, -0.6)","(-4.3, -0.9, -2.4) (0.0, 0.1, 0.0, -1.0)",_,_,_,_,_,_,_,_,"(-3.9, -0.9, -4.2) (0.0, 0.2, 0.0, 1.0)","(-5.9, -0.9, -5.0) (0.0, 1.0, 0.0, 0.3)",
183,data/screenshots/183_0_1_1_0_50_50_0_0_0_2.929708_50_50_169.3601_1000_1000_26.63055_0_0_0_1_0_0_0_50_0_0_2.png,0,1,1,0,50,50,0,0,0,2.929708,50,50,169.3601,1000,1000,26.63055,0,0,0,1,0,0,0,50,0,50,0,0,2,"(-5.0, -0.9, -3.6) (0.0, 0.0, 0.0, -1.0)",_,_,_,_,_,_,_,_,_,_,"(-4.0, -0.9, -0.9) (0.0, 0.3, 0.0, 1.0)",
184,data/screenshots/184_0_1_2_0_50_50_0_0_0_2.432729_3.998427_50_96.82297_117.7091_1000_1000_0_0_0_0_0_0_0_50_0_2_3.png,0,1,2,0,50,50,0,0,0,2.432729,3.998427,50,96.82297,117.7091,1000,1000,0,0,0,0,0,0,0,50,0,50,2,0,3,_,_,_,_,_,_,"(-5.7, -0.3, -0.3) (0.0, -0.7, 0.0, 0.7)","(-5.3, -0.7, -2.1) (0.0, -0.8, 0.0, 0.7)",_,_,_,"(-3.1, -0.9, -3.3) (0.0, 1.0, 0.0, -0.2)",
