id,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow,carry_big_objects_tables_chairs_etc__in_the_direction_of_the_arrow:variance,carry_big_objects_tables_chairs_etc_within_the_circle,carry_big_objects_tables_chairs_etc_within_the_circle:variance,carry_cold_food_in_the_direction_of_the_arrow,carry_cold_food_in_the_direction_of_the_arrow:variance,carry_cold_food_within_the_circle,carry_cold_food_within_the_circle:variance,carry_drinks_in_the_direction_of_the_arrow,carry_drinks_in_the_direction_of_the_arrow:variance,carry_drinks_within_the_circle,carry_drinks_within_the_circle:variance,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow,carry_small_objects_plates_toys_etc__in_the_direction_of_the_arrow:variance,carry_small_objects_plates_toys_etc_within_the_circle,carry_small_objects_plates_toys_etc_within_the_circle:variance,carry_warm_food_in_the_direction_of_the_arrow,carry_warm_food_in_the_direction_of_the_arrow:variance,carry_warm_food_within_the_circle,carry_warm_food_within_the_circle:variance,cleaning_picking_up_stuff_within_the_circle,cleaning_picking_up_stuff_within_the_circle:variance,mopping_the_floor_in_the_direction_of_the_arrow,mopping_the_floor_in_the_direction_of_the_arrow:variance,mopping_the_floor_within_the_circle,mopping_the_floor_within_the_circle:variance,starting_conversation_in_the_direction_of_the_arrow,starting_conversation_in_the_direction_of_the_arrow:variance,vacuum_cleaning_in_the_direction_of_the_arrow,vacuum_cleaning_in_the_direction_of_the_arrow:variance,vacuum_cleaning_within_the_circle,vacuum_cleaning_within_the_circle:variance,2nd_closest_human_facing_robot,3d_closest_human_facing_robot,closest_human_facing_robot,direction_from_closest_human_to_robot,direction_to_2nd_closest_human,direction_to_3rd_closest_human,direction_to_closest_human,distance_to_2nd_closest_human,distance_to_3rd_closest_human,distance_to_closest_animal,distance_to_closest_child,distance_to_closest_human,distance_to_group,group_radius,music_playing,number_of_agents_in_scene,number_of_animals,number_of_children,number_of_people,number_of_people_in_group,number_of_people_sittinglaying_in_sofa,robot_facing_2nd_closest_human,robot_facing_3rd_closest_human,robot_facing_closest_human,robot_facing_group,robot_within_group,robot_work_radius,stamp,using_arrow,using_circle
2633639417,0.0,0.0,2.93,1.526,0.0,0.0,3.33,1.4909999999999999,0.0,0.0,3.47,1.5,0.0,0.0,3.27,1.436,0.0,0.0,3.33,1.3980000000000001,3.47,1.36,0.0,0.0,2.93,1.526,0.0,0.0,0.0,0.0,3.07,1.611,0,0,0,142.8982,72.62131,78.90926,88.11455,1.427115,2.010996,50.0,50.0,0.8770812,50.0,50.0,0,6,0,0,5,0,1,0,0,0,0,0,1.582288,11,0,1
2633639418,3.58,1.5330000000000001,0.0,0.0,3.84,1.225,0.0,0.0,3.89,1.209,0.0,0.0,3.89,1.209,0.0,0.0,3.74,1.291,0.0,0.0,0.0,0.0,3.74,1.291,0.0,0.0,3.58,1.4980000000000002,3.74,1.25,0.0,0.0,0,0,0,317.4496,142.4245,1000.0,71.75674000000001,4.165578,50.0,50.0,50.0,3.8418699999999997,50.0,50.0,0,3,0,0,2,0,1,0,0,0,0,0,0.0,12,1,0
2633639420,0.0,0.0,3.87,1.204,0.0,0.0,3.73,1.34,0.0,0.0,3.93,1.236,0.0,0.0,4.0,1.2109999999999999,0.0,0.0,3.87,1.258,3.73,1.34,0.0,0.0,4.0,1.317,0.0,0.0,0.0,0.0,3.73,1.436,1,0,0,158.3763,143.7248,1000.0,175.3667,3.6240580000000002,50.0,50.0,50.0,3.108594,50.0,50.0,0,3,0,0,2,0,0,0,0,0,0,0,1.573692,14,0,1
2633639422,0.0,0.0,3.69,1.4880000000000002,0.0,0.0,3.69,1.435,0.0,0.0,3.73,1.374,0.0,0.0,3.81,1.301,0.0,0.0,3.65,1.466,3.77,1.449,0.0,0.0,3.65,1.568,0.0,0.0,0.0,0.0,3.81,1.3869999999999998,0,0,1,34.15363,1000.0,1000.0,196.4141,50.0,50.0,50.0,50.0,4.045765,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,0,1.2215200000000002,16,0,1
2633639423,3.21,1.055,0.0,0.0,3.42,0.99,0.0,0.0,3.16,1.225,0.0,0.0,3.26,0.965,0.0,0.0,3.37,1.0859999999999999,0.0,0.0,0.0,0.0,3.21,1.055,0.0,0.0,3.21,1.004,3.32,1.172,0.0,0.0,0,0,0,46.15675,113.6328,1.0012510000000001,7.003113000000001,2.567755,3.6610620000000003,50.0,50.0,2.142594,50.0,50.0,0,7,0,0,6,0,0,0,1,1,0,0,0.0,17,1,0
2633639424,3.0,1.2109999999999999,0.0,0.0,3.33,1.35,0.0,0.0,3.07,1.2890000000000001,0.0,0.0,3.2,1.327,0.0,0.0,3.27,1.2890000000000001,0.0,0.0,0.0,0.0,3.2,1.275,0.0,0.0,3.27,1.34,3.2,1.275,0.0,0.0,0,0,0,214.84400000000002,287.9637,345.7528,230.6891,1.581628,2.302838,50.0,50.0,1.288526,50.0,50.0,0,7,0,0,6,0,0,0,1,0,0,0,0.0,18,1,0
2633639425,3.27,1.181,0.0,0.0,3.27,1.436,0.0,0.0,3.33,1.135,0.0,0.0,3.4,1.143,0.0,0.0,3.53,1.147,0.0,0.0,0.0,0.0,3.13,1.147,0.0,0.0,3.2,1.222,3.07,1.123,0.0,0.0,1,0,0,257.1814,52.14151,188.5208,33.97922,1.937617,2.911825,50.0,1.937617,1.125393,3.4912379999999996,0.7484223000000001,0,7,0,1,6,3,0,0,0,1,0,0,0.0,19,1,0
2633639426,3.69,1.206,0.0,0.0,3.79,1.186,0.0,0.0,3.83,1.315,0.0,0.0,3.69,1.235,0.0,0.0,3.69,1.177,0.0,0.0,0.0,0.0,3.72,1.31,0.0,0.0,3.69,1.177,3.62,1.215,0.0,0.0,0,0,0,141.6802,234.4165,10.98718,180.3365,0.8404765,3.051695,50.0,50.0,0.4008913,50.0,50.0,1,7,0,0,6,0,0,0,1,0,0,0,0.0,20,1,0
2633639427,0.0,0.0,3.4,1.143,0.0,0.0,3.47,0.884,0.0,0.0,3.33,0.943,0.0,0.0,3.4,1.02,0.0,0.0,3.07,1.181,3.67,1.011,0.0,0.0,3.27,1.2890000000000001,0.0,0.0,0.0,0.0,3.07,1.2890000000000001,0,0,0,59.67429,1000.0,1000.0,69.91411,50.0,50.0,5.451954,50.0,2.464521,50.0,50.0,0,3,1,0,1,0,0,0,0,0,0,0,0.8215136999999999,21,0,1
2633639428,0.0,0.0,3.55,1.499,0.0,0.0,3.36,1.5530000000000002,0.0,0.0,3.45,1.5590000000000002,0.0,0.0,3.45,1.5290000000000001,0.0,0.0,3.36,1.5530000000000002,3.41,1.614,0.0,0.0,3.5,1.5590000000000002,0.0,0.0,0.0,0.0,3.5,1.5590000000000002,0,0,0,93.98868,13.86935,1000.0,5.314392,5.371885,50.0,50.0,50.0,5.23825,50.0,50.0,0,3,0,0,2,0,0,1,0,1,0,0,2.155335,22,0,1
2633639430,3.07,1.34,0.0,0.0,3.73,1.062,0.0,0.0,3.8,0.98,0.0,0.0,3.47,1.147,0.0,0.0,3.8,1.046,0.0,0.0,0.0,0.0,3.67,1.011,0.0,0.0,3.87,1.087,3.4,1.254,0.0,0.0,0,1,0,223.3774,338.4697,25.61044,222.493,0.6446414,1.240534,50.0,50.0,0.4242669,1.0822459999999998,0.5374555999999999,0,7,0,0,6,3,0,1,1,0,1,0,0.0,24,1,0
2633639432,0.0,0.0,3.27,1.062,0.0,0.0,3.47,1.024,0.0,0.0,3.27,1.062,0.0,0.0,3.33,1.011,0.0,0.0,3.33,1.075,3.4,1.02,0.0,0.0,3.53,1.024,0.0,0.0,0.0,0.0,3.27,1.062,0,1,1,357.2418,275.0009,25.977339999999998,199.2418,0.4903605,1.559444,50.0,50.0,0.4173691,50.0,50.0,0,7,0,0,6,0,0,0,1,0,0,1,1.2118520000000002,26,0,1
2633639433,3.67,1.3,0.0,0.0,3.87,1.147,0.0,0.0,3.73,1.236,0.0,0.0,3.73,1.123,0.0,0.0,3.8,1.275,0.0,0.0,0.0,0.0,3.4,1.4969999999999999,0.0,0.0,4.07,1.123,3.8,1.275,0.0,0.0,0,0,1,335.4372,120.5097,223.7328,353.4598,2.346784,2.450176,50.0,3.511944,0.6974629,50.0,50.0,0,6,0,1,5,0,0,0,0,1,0,1,0.0,27,1,0
2633639435,0.0,0.0,2.94,1.345,0.0,0.0,3.25,1.521,0.0,0.0,3.0,1.275,0.0,0.0,3.19,1.3330000000000002,0.0,0.0,3.25,1.199,3.25,1.3459999999999999,0.0,0.0,3.06,1.391,0.0,0.0,0.0,0.0,3.0,1.4140000000000001,1,1,1,0.0,287.0,17.0,197.0,0.8518181,0.8518181,50.0,50.0,0.8518181,0.0,0.8518180000000001,0,7,0,0,6,4,1,0,1,0,1,1,0.7849114,29,0,1
2633639436,0.0,0.0,3.23,1.3119999999999998,0.0,0.0,3.64,1.189,0.0,0.0,3.45,1.2690000000000001,0.0,0.0,3.41,1.3019999999999998,0.0,0.0,3.73,1.095,3.73,1.213,0.0,0.0,3.36,1.189,0.0,0.0,0.0,0.0,3.32,1.2930000000000001,1,0,1,0.0,179.0,299.0,58.999990000000004,0.7244655,0.7244656,50.0,50.0,0.7244655,0.0,0.7244656,0,8,0,0,7,3,1,0,0,0,1,1,1.983744,30,0,1
2633639438,2.4,1.02,0.0,0.0,3.07,1.2890000000000001,0.0,0.0,3.07,1.062,0.0,0.0,2.87,0.884,0.0,0.0,2.53,1.024,0.0,0.0,0.0,0.0,2.53,1.087,0.0,0.0,3.6,0.9520000000000001,2.6,1.083,0.0,0.0,1,1,1,0.0,231.0,351.0,111.0,0.5587035,0.5587035,3.9620290000000002,50.0,0.5587034000000001,0.0,0.5587035,0,7,1,0,5,3,0,0,1,0,1,1,0.0,32,1,0
2633639439,3.27,1.34,0.0,0.0,3.47,1.31,0.0,0.0,3.27,1.389,0.0,0.0,3.27,1.34,0.0,0.0,3.2,1.376,0.0,0.0,0.0,0.0,3.47,1.31,0.0,0.0,3.27,1.436,3.33,1.3980000000000001,0.0,0.0,0,0,0,175.7948,191.6782,169.2451,178.9124,3.886106,3.958264,50.0,50.0,2.526752,3.4068980000000004,0.8819068999999999,0,4,0,0,0,3,0,0,0,0,0,0,0.0,33,1,0
2633639441,0.0,0.0,3.27,1.2890000000000001,0.0,0.0,3.8,1.166,0.0,0.0,3.33,1.4909999999999999,0.0,0.0,3.67,1.075,0.0,0.0,3.67,1.193,3.6,1.143,0.0,0.0,3.47,1.36,0.0,0.0,0.0,0.0,3.53,1.31,1,0,1,0.0,142.0,262.0,22.00001,0.8183089,0.8183090999999999,50.0,50.0,0.8183089,0.0,0.8183090000000001,0,7,0,0,6,3,0,0,0,1,1,1,1.051094,35,0,1
2633639442,0.0,0.0,3.22,1.25,0.0,0.0,3.3,1.195,0.0,0.0,3.26,1.39,0.0,0.0,3.26,1.15,0.0,0.0,3.13,1.1909999999999998,3.26,1.2590000000000001,0.0,0.0,3.43,1.173,0.0,0.0,0.0,0.0,3.52,1.137,0,0,0,162.418,190.31099999999998,172.8349,176.5458,3.272365,3.5043260000000003,50.0,50.0,2.466933,3.0529759999999997,0.6089433000000001,0,4,0,0,0,3,0,0,0,0,0,0,1.8506630000000002,36,0,1
2633639443,3.21,1.436,0.0,0.0,3.37,1.179,0.0,0.0,3.26,1.37,0.0,0.0,3.21,1.3980000000000001,0.0,0.0,3.11,1.252,0.0,0.0,0.0,0.0,3.16,1.182,0.0,0.0,3.58,1.311,3.11,1.334,0.0,0.0,1,1,1,0.0,340.0,52.0,268.0,0.501923,0.501923,50.0,1.513339,0.501923,0.0,0.501923,0,8,0,1,7,5,0,1,0,0,1,1,0.0,37,1,0
2633639445,3.14,1.196,0.0,0.0,3.24,1.2770000000000001,0.0,0.0,3.17,1.085,0.0,0.0,3.21,1.156,0.0,0.0,3.21,1.063,0.0,0.0,0.0,0.0,3.17,1.288,0.0,0.0,3.41,1.13,3.21,1.214,0.0,0.0,1,0,1,0.0,314.0,134.0,224.0,0.9080386,0.9080386999999999,50.0,3.045195,0.9080386,0.0,0.9080386999999999,0,7,0,2,2,4,0,0,0,0,1,1,0.0,39,1,0
2633639446,3.54,1.1840000000000002,0.0,0.0,3.54,1.046,0.0,0.0,3.62,1.077,0.0,0.0,3.58,1.115,0.0,0.0,3.42,1.115,0.0,0.0,0.0,0.0,3.5,1.1179999999999999,0.0,0.0,3.73,1.058,3.42,1.149,0.0,0.0,1,0,0,103.7023,124.7625,346.2617,333.7023,1.133214,1.6076409999999999,50.0,50.0,1.079949,50.0,50.0,0,6,0,0,5,0,0,0,1,1,0,1,0.0,40,1,0
2633639447,3.2,1.275,0.0,0.0,3.07,1.389,0.0,0.0,3.4,1.306,0.0,0.0,3.53,1.147,0.0,0.0,3.07,1.389,0.0,0.0,0.0,0.0,3.2,1.47,0.0,0.0,3.47,1.31,3.47,1.147,0.0,0.0,0,0,0,182.1199,47.85962,348.9319,0.41237640000000003,3.43614,3.7549379999999997,50.0,50.0,2.9858029999999998,3.7065839999999994,0.7211788,0,6,0,0,5,4,0,0,1,1,1,0,0.0,41,1,0
2633639448,3.6,1.3559999999999999,0.0,0.0,3.6,1.306,0.0,0.0,3.6,1.405,0.0,0.0,3.53,1.36,0.0,0.0,3.67,1.247,0.0,0.0,0.0,0.0,3.73,1.123,0.0,0.0,3.47,1.5,3.67,1.193,0.0,0.0,0,0,0,93.67352,2.802643,350.0941,248.0003,3.7240309999999996,4.350834,50.0,50.0,0.7404321,4.468058,0.770312,0,6,0,0,5,4,0,1,1,0,1,0,0.0,42,1,0
2633639450,3.42,1.27,0.0,0.0,3.21,1.36,0.0,0.0,3.47,1.23,0.0,0.0,3.58,1.311,0.0,0.0,3.42,1.311,0.0,0.0,0.0,0.0,3.47,1.272,0.0,0.0,3.58,1.1840000000000002,3.16,1.531,0.0,0.0,0,0,0,77.08875,142.4297,1000.0,171.5436,1.610201,50.0,2.781317,1.338187,1.338187,50.0,50.0,0,4,1,2,2,0,0,0,0,0,0,0,0.0,44,1,0
2633639451,0.0,0.0,3.73,1.175,0.0,0.0,3.86,1.179,0.0,0.0,3.77,1.165,0.0,0.0,3.73,1.213,0.0,0.0,3.77,1.203,3.86,1.099,0.0,0.0,3.73,1.25,0.0,0.0,0.0,0.0,3.82,1.23,1,0,1,349.4192,350.9698,344.601,323.4767,4.032952,4.2055419999999994,50.0,50.0,2.484393,5.494408999999999,0.8810872,0,7,0,0,6,3,1,1,1,1,1,0,2.197381,45,0,1
2633639452,0.0,0.0,2.73,1.2890000000000001,0.0,0.0,3.33,1.3980000000000001,0.0,0.0,3.07,1.2890000000000001,0.0,0.0,3.0,1.265,0.0,0.0,3.27,1.2890000000000001,3.27,1.2890000000000001,0.0,0.0,3.33,1.3,0.0,0.0,0.0,0.0,3.4,1.3559999999999999,0,0,0,266.2749,174.7976,222.7352,132.3489,1.30617,3.535275,50.0,50.0,0.7601658,50.0,50.0,0,6,0,0,5,0,1,0,0,0,0,0,2.829013,46,0,1
2633639454,0.0,0.0,3.27,1.34,0.0,0.0,3.4,1.3559999999999999,0.0,0.0,3.2,1.275,0.0,0.0,3.33,1.193,0.0,0.0,3.4,1.306,3.4,1.405,0.0,0.0,3.0,1.4140000000000001,0.0,0.0,0.0,0.0,3.2,1.376,0,0,0,294.8349,131.9685,159.7664,201.9093,2.879707,3.855634,50.0,5.008534,1.286352,4.975489,0.5115319,0,8,0,1,7,3,2,0,0,0,0,0,1.240421,48,0,1
2633639455,0.0,0.0,3.53,1.147,0.0,0.0,3.73,1.181,0.0,0.0,3.4,1.254,0.0,0.0,3.33,1.3,0.0,0.0,3.53,1.204,3.73,1.181,0.0,0.0,3.4,1.306,0.0,0.0,0.0,0.0,3.67,1.3,0,0,0,53.50388,349.5122,10.05711,101.8119,1.472539,2.3393919999999997,50.0,50.0,1.3748280000000002,50.0,50.0,0,4,0,0,3,0,0,1,1,0,0,0,2.058575,49,0,1
2633639456,3.13,1.36,0.0,0.0,3.07,1.2890000000000001,0.0,0.0,3.0,1.4140000000000001,0.0,0.0,3.13,1.31,0.0,0.0,3.07,1.236,0.0,0.0,0.0,0.0,2.93,1.181,0.0,0.0,3.33,1.35,2.8,1.327,0.0,0.0,0,0,0,275.0893,120.8729,196.265,207.8851,3.3309019999999996,3.918563,50.0,50.0,0.8197964,50.0,50.0,0,5,0,0,4,0,1,0,0,0,0,0,0.0,50,1,0
2633639457,3.47,1.6280000000000001,0.0,0.0,3.47,1.5859999999999999,0.0,0.0,3.53,1.6280000000000001,0.0,0.0,3.6,1.541,0.0,0.0,3.53,1.5430000000000001,0.0,0.0,0.0,0.0,3.47,1.5859999999999999,0.0,0.0,3.53,1.5859999999999999,3.47,1.5859999999999999,0.0,0.0,0,0,0,78.62878,263.2661,235.7139,143.1596,2.0548990000000003,2.099431,50.0,50.0,0.9408947,50.0,50.0,1,6,0,0,5,0,0,0,0,0,0,0,0.0,51,1,0
2633639458,3.8,1.275,0.0,0.0,3.67,1.3,0.0,0.0,3.47,1.5430000000000001,0.0,0.0,4.0,1.155,0.0,0.0,3.73,1.2890000000000001,0.0,0.0,0.0,0.0,3.67,1.535,0.0,0.0,3.87,1.204,3.93,1.236,0.0,0.0,0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,50.0,50.0,50.0,50.0,50.0,0,1,0,0,0,0,0,0,0,0,0,0,0.0,52,1,0
2633639459,4.0,1.17,0.0,0.0,4.21,1.104,0.0,0.0,3.95,1.234,0.0,0.0,3.89,1.165,0.0,0.0,3.79,1.281,0.0,0.0,0.0,0.0,3.84,1.268,0.0,0.0,4.0,1.17,3.68,1.2590000000000001,0.0,0.0,0,0,0,231.7958,107.0847,155.9194,198.9312,1.997237,2.036241,50.0,50.0,1.654452,2.3957900000000003,0.9891353,0,6,0,0,5,4,0,0,0,0,0,0,0.0,53,1,0
2633639460,3.2,1.514,0.0,0.0,3.4,1.405,0.0,0.0,3.4,1.4969999999999999,0.0,0.0,3.53,1.36,0.0,0.0,3.8,1.166,0.0,0.0,0.0,0.0,3.73,1.181,0.0,0.0,3.33,1.445,3.73,1.123,0.0,0.0,0,1,1,0.0,87.0,327.0,207.0,0.9259870000000001,0.9259873,50.0,50.0,0.9259869000000001,0.0,0.9259870000000001,0,6,0,0,5,3,1,0,1,0,1,1,0.0,54,1,0
2633639461,3.4,1.306,0.0,0.0,3.27,1.34,0.0,0.0,3.27,1.34,0.0,0.0,3.33,1.247,0.0,0.0,3.33,1.3,0.0,0.0,0.0,0.0,3.6,1.306,0.0,0.0,3.8,1.275,3.67,1.247,0.0,0.0,1,1,1,0.0,245.0,5.0,125.0,0.5830420999999999,0.5830420999999999,50.0,50.0,0.5830420999999999,0.0,0.5830422,0,4,0,0,0,3,0,0,1,0,1,1,0.0,55,1,0
2633639462,0.0,0.0,3.07,1.436,0.0,0.0,3.53,1.258,0.0,0.0,3.47,1.31,0.0,0.0,3.6,1.306,0.0,0.0,3.47,1.31,3.8,1.222,0.0,0.0,3.6,1.405,0.0,0.0,0.0,0.0,3.6,1.405,1,0,0,241.368,169.0096,181.36700000000002,189.8008,4.410553,5.557974,50.0,50.0,4.160722,4.662016,0.9041517,0,4,0,0,1,3,0,0,0,0,0,0,1.830528,56,0,1
2633639463,0.0,0.0,3.48,1.429,0.0,0.0,3.76,1.2770000000000001,0.0,0.0,3.48,1.429,0.0,0.0,3.76,1.25,0.0,0.0,3.72,1.229,3.66,1.3459999999999999,0.0,0.0,3.38,1.495,0.0,0.0,0.0,0.0,3.38,1.472,1,0,1,0.0,159.0,279.0,39.000009999999996,0.705739,0.7057391,50.0,50.0,0.705739,0.0,0.7057391,0,4,0,0,1,3,0,0,0,1,1,1,2.018199,57,0,1
2633639464,3.5,1.1179999999999999,0.0,0.0,3.72,1.446,0.0,0.0,3.56,1.212,0.0,0.0,3.44,1.165,0.0,0.0,3.61,1.208,0.0,0.0,0.0,0.0,3.83,1.3019999999999998,0.0,0.0,3.39,1.297,3.56,1.423,0.0,0.0,1,0,0,82.345,46.20264,109.7166,212.345,2.027318,2.881348,50.0,2.881348,0.7789187,50.0,50.0,0,6,0,1,5,0,0,0,0,0,0,1,0.0,58,1,0
2633639466,0.0,0.0,4.47,0.8059999999999999,0.0,0.0,4.4,0.9520000000000001,0.0,0.0,4.33,1.011,0.0,0.0,4.47,0.8059999999999999,0.0,0.0,4.2,0.98,4.27,1.062,0.0,0.0,4.33,0.943,0.0,0.0,0.0,0.0,4.27,1.062,0,0,0,272.7304,1000.0,1000.0,228.0802,50.0,50.0,50.0,50.0,4.456846,50.0,50.0,0,2,0,0,1,0,0,0,0,0,0,1,1.144013,60,0,1
2633639468,3.68,1.34,0.0,0.0,3.79,1.151,0.0,0.0,3.79,1.151,0.0,0.0,3.79,1.239,0.0,0.0,3.68,1.2590000000000001,0.0,0.0,0.0,0.0,3.68,1.172,0.0,0.0,3.63,1.306,3.58,1.1840000000000002,0.0,0.0,0,0,0,1000.0,1000.0,1000.0,1000.0,50.0,50.0,4.066605,50.0,50.0,50.0,50.0,0,2,1,0,0,0,0,0,0,0,0,1,0.0,62,1,0
